step,pair,hasManifold,contactCount,penetration,normalX,normalY,normalZ,hasOrientedManifold,orientedContactCount,orientedPenetration,orientedNormalX,orientedNormalY,orientedNormalZ,axisContact,axisPenetration,axisIndex,firstUpY,secondUpY,firstPositionX,firstPositionY,secondPositionX,secondPositionY
15,ground-box02,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999595,0,-0.5,0.0030645754,1.4868085
15,ground-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999624,0,-0.5,0.0041221324,2.4819613
15,ground-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999595,0,-0.5,0.004172311,3.4798925
15,box01-box02,true,4,0.017225742,0,-1,0,true,1,0.015349925,-0.0014479894,-0.9999956,0.0025914186,true,0.017225742,1,0.9999987,0.99999595,0.00072458154,0.5010817,0.0030645754,1.4868085
15,box01-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.9999987,0.99999624,0.00072458154,0.5010817,0.0041221324,2.4819613
15,box01-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.9999987,0.99999595,0.00072458154,0.5010817,0.004172311,3.4798925
15,box02-box03,true,4,0.008126259,0,-1,0,true,1,0.005448818,-0.0011541697,-0.99999565,0.0027345584,true,0.008126259,1,0.99999595,0.99999624,0.0030645754,1.4868085,0.0041221324,2.4819613
15,box02-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.99999595,0.99999595,0.0030645754,1.4868085,0.004172311,3.4798925
15,box03-box04,true,4,0.0049180984,0,-1,0,true,1,0.0021429062,-4.0589923E-05,-0.9999963,0.0027345568,true,0.0049180984,1,0.99999624,0.99999595,0.0041221324,2.4819613,0.004172311,3.4798925
16,ground-box01,true,4,0,0,-1,0,true,4,0,-0,-1,-0,true,0,1,1,0.99999857,0,-0.5,0.0007543707,0.5011236
16,ground-box02,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.9999949,0,-0.5,0.0032495218,1.4867316
16,ground-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999523,0,-0.5,0.0045099785,2.4818718
16,ground-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999493,0,-0.5,0.0048115123,3.4797778
16,box01-box02,true,4,0.017638743,0,-1,0,true,1,0.015539587,-0.001507438,-0.9999947,0.0028989671,true,0.017638743,1,0.99999857,0.9999949,0.0007543707,0.5011236,0.0032495218,1.4867316
